iter	Passed	Remaining
0	57	57207
1	57	28788
2	58	19313
3	58	14583
4	59	11741
5	59	9832
6	59	8476
7	60	7459
8	60	6665
9	60	6025
10	61	5506
11	61	5074
12	62	4708
13	62	4395
14	62	4123
15	63	3885
16	63	3674
17	63	3488
18	64	3322
19	64	3172
20	65	3036
21	65	2917
22	66	2806
23	66	2707
24	66	2610
25	67	2525
26	67	2444
27	68	2366
28	68	2294
29	68	2230
30	69	2168
31	69	2110
32	70	2055
33	70	2005
34	70	1956
35	71	1911
36	71	1868
37	72	1827
38	72	1789
39	72	1750
40	73	1713
41	73	1679
42	74	1646
43	74	1616
44	74	1586
45	75	1558
46	75	1530
47	75	1504
48	76	1479
49	76	1456
50	77	1435
51	77	1413
52	77	1393
53	78	1373
54	78	1353
55	79	1335
56	79	1316
57	80	1301
58	80	1284
59	80	1267
60	81	1251
61	81	1235
62	82	1220
63	82	1206
64	82	1192
65	83	1178
66	83	1164
67	83	1151
68	84	1139
69	84	1126
70	85	1113
71	85	1101
72	85	1089
73	86	1078
74	86	1067
75	86	1057
76	87	1047
77	87	1037
78	88	1028
79	88	1018
80	88	1009
81	89	999
82	89	988
83	89	980
84	90	971
85	90	962
86	90	954
87	91	948
88	91	941
89	92	934
90	92	927
91	93	920
92	93	914
93	94	908
94	94	902
95	95	896
96	95	889
97	96	883
98	96	878
99	96	872
100	97	865
101	97	859
102	98	854
103	98	847
104	98	841
105	99	836
106	99	830
107	99	824
108	100	819
109	100	813
110	100	808
111	101	803
112	101	797
113	101	792
114	102	787
115	102	782
116	103	777
117	103	772
118	103	767
119	104	763
120	104	758
121	104	753
122	105	749
123	105	744
124	105	740
125	106	736
126	106	731
127	106	727
128	107	723
129	107	719
130	107	716
131	108	712
132	108	709
133	109	706
134	109	703
135	110	699
136	110	696
137	110	692
138	111	689
139	111	686
140	112	683
141	112	679
142	112	676
143	113	673
144	113	669
145	113	666
146	114	663
147	114	660
148	115	657
149	115	654
150	115	651
151	116	648
152	116	645
153	117	642
154	117	639
155	117	637
156	118	634
157	118	631
158	118	628
159	119	626
160	119	622
161	119	620
162	120	617
163	120	614
164	120	612
165	121	609
166	121	607
167	122	604
168	122	602
169	122	600
170	123	598
171	123	596
172	124	593
173	124	591
174	125	589
175	125	586
176	125	584
177	126	582
178	126	580
179	126	577
180	127	575
181	127	573
182	127	570
183	128	568
184	128	566
185	128	564
186	129	562
187	129	560
188	130	558
189	130	556
190	130	554
191	131	552
192	131	550
193	132	548
194	132	546
195	132	544
196	133	542
197	133	540
198	133	538
199	134	536
200	134	534
201	134	532
202	135	531
203	135	529
204	136	528
205	136	526
206	136	524
207	137	522
208	137	521
209	138	519
210	138	517
211	138	516
212	139	514
213	139	513
214	140	511
215	140	509
216	140	508
217	141	507
218	141	505
219	142	503
220	142	502
221	142	500
222	143	499
223	143	497
224	143	495
225	144	494
226	144	492
227	145	491
228	145	489
229	145	487
230	146	486
231	146	484
232	146	483
233	147	481
234	147	480
235	147	478
236	148	476
237	148	475
238	148	473
239	149	472
240	149	470
241	149	469
242	150	468
243	150	466
244	151	465
245	151	464
246	151	462
247	152	461
248	152	460
249	153	459
250	153	458
251	153	456
252	154	455
253	154	454
254	155	453
255	155	451
256	156	451
257	156	450
258	156	448
259	157	448
260	157	447
261	158	446
262	158	445
263	159	444
264	159	443
265	160	442
266	160	440
267	161	439
268	161	439
269	161	437
270	162	437
271	162	436
272	163	435
273	163	434
274	164	433
275	165	432
276	165	431
277	166	431
278	166	430
279	166	429
280	167	428
281	168	428
282	168	427
283	169	426
284	169	425
285	170	425
286	170	424
287	171	423
288	171	422
289	172	421
290	172	420
291	173	419
292	173	419
293	174	417
294	174	416
295	174	415
296	175	415
297	175	414
298	176	413
299	176	412
300	177	411
301	177	410
302	178	409
